"","V1"
"X.Training.samples",74
"Regularized.training.gain",0.5528
"Unregularized.training.gain",0.7037
"Iterations",500
"Training.AUC",0.8186
"X.Background.points",1074
"bio01nz.contribution",24.3506
"bio05nz.contribution",57.9127
"bio06nz.contribution",3.7075
"bio12nz.contribution",0.0487
"bio13nz.contribution",10.8349
"bio14nz.contribution",3.1456
"bio01nz.permutation.importance",19.3098
"bio05nz.permutation.importance",33.8326
"bio06nz.permutation.importance",35.0972
"bio12nz.permutation.importance",0.004
"bio13nz.permutation.importance",10.5903
"bio14nz.permutation.importance",1.1661
"Entropy",6.425
"Prevalence..average.probability.of.presence.over.background.sites.",0.3455
"Fixed.cumulative.value.1.cumulative.threshold",1
"Fixed.cumulative.value.1.Cloglog.threshold",0.0687
"Fixed.cumulative.value.1.area",0.7765
"Fixed.cumulative.value.1.training.omission",0
"Fixed.cumulative.value.5.cumulative.threshold",5
"Fixed.cumulative.value.5.Cloglog.threshold",0.1772
"Fixed.cumulative.value.5.area",0.6006
"Fixed.cumulative.value.5.training.omission",0
"Fixed.cumulative.value.10.cumulative.threshold",10
"Fixed.cumulative.value.10.Cloglog.threshold",0.2703
"Fixed.cumulative.value.10.area",0.486
"Fixed.cumulative.value.10.training.omission",0
"Minimum.training.presence.cumulative.threshold",10.0562
"Minimum.training.presence.Cloglog.threshold",0.2704
"Minimum.training.presence.area",0.4851
"Minimum.training.presence.training.omission",0
"X10.percentile.training.presence.cumulative.threshold",15.3563
"X10.percentile.training.presence.Cloglog.threshold",0.3856
"X10.percentile.training.presence.area",0.4088
"X10.percentile.training.presence.training.omission",0.0946
"Equal.training.sensitivity.and.specificity.cumulative.threshold",30.003
"Equal.training.sensitivity.and.specificity.Cloglog.threshold",0.5668
"Equal.training.sensitivity.and.specificity.area",0.2793
"Equal.training.sensitivity.and.specificity.training.omission",0.2838
"Maximum.training.sensitivity.plus.specificity.cumulative.threshold",10.0562
"Maximum.training.sensitivity.plus.specificity.Cloglog.threshold",0.2704
"Maximum.training.sensitivity.plus.specificity.area",0.4851
"Maximum.training.sensitivity.plus.specificity.training.omission",0
"Balance.training.omission..predicted.area.and.threshold.value.cumulative.threshold",6.5408
"Balance.training.omission..predicted.area.and.threshold.value.Cloglog.threshold",0.2042
"Balance.training.omission..predicted.area.and.threshold.value.area",0.5596
"Balance.training.omission..predicted.area.and.threshold.value.training.omission",0
"Equate.entropy.of.thresholded.and.original.distributions.cumulative.threshold",5.9612
"Equate.entropy.of.thresholded.and.original.distributions.Cloglog.threshold",0.196
"Equate.entropy.of.thresholded.and.original.distributions.area",0.5745
"Equate.entropy.of.thresholded.and.original.distributions.training.omission",0
