x,y,species cloglog values
1.0,1.0,0.0030989293
2.0,2.0,0.41233152
3.0,3.0,0.18862791
4.0,4.0,0.23096505
5.0,5.0,0.08368356
6.0,6.0,0.4719013
7.0,7.0,0.102553666
8.0,8.0,0.39487872
9.0,9.0,0.2429349
10.0,10.0,0.04689975
11.0,11.0,0.10205538
12.0,12.0,0.033051107
13.0,13.0,0.17292655
14.0,14.0,0.7288252
15.0,15.0,0.04485285
16.0,16.0,0.0027540943
17.0,17.0,0.13243581
18.0,18.0,0.39429685
19.0,19.0,0.12778276
20.0,20.0,0.09882359
21.0,21.0,0.0073748967
22.0,22.0,0.0116612585
23.0,23.0,0.54988027
24.0,24.0,0.17692982
25.0,25.0,0.61631507
26.0,26.0,0.31028956
27.0,27.0,0.090537585
28.0,28.0,0.0576867
29.0,29.0,0.61169744
30.0,30.0,0.07952753
31.0,31.0,0.7077604
32.0,32.0,0.1099581
33.0,33.0,0.4190312
34.0,34.0,0.56611633
35.0,35.0,0.21106973
36.0,36.0,0.19303516
37.0,37.0,0.77062106
38.0,38.0,0.7243763
39.0,39.0,0.0092363935
40.0,40.0,0.8454552
41.0,41.0,0.81364375
42.0,42.0,0.77958786
43.0,43.0,0.48570314
44.0,44.0,0.15015818
45.0,45.0,0.01341333
46.0,46.0,0.003818016
47.0,47.0,0.17356783
48.0,48.0,0.026723245
49.0,49.0,0.009836349
50.0,50.0,0.9063349
51.0,51.0,0.62213326
52.0,52.0,0.0024923526
53.0,53.0,0.15331112
54.0,54.0,0.006171339
55.0,55.0,0.016997969
56.0,56.0,0.0031044825
57.0,57.0,0.7763816
58.0,58.0,0.6534991
59.0,59.0,0.860417
60.0,60.0,0.72104436
61.0,61.0,0.80174106
62.0,62.0,0.03247238
63.0,63.0,0.099498905
64.0,64.0,0.39840278
65.0,65.0,0.19876608
66.0,66.0,0.007071692
67.0,67.0,0.6667613
68.0,68.0,0.36708298
69.0,69.0,0.3474695
70.0,70.0,0.68777657
71.0,71.0,0.5892482
72.0,72.0,0.6882291
73.0,73.0,0.50468993
74.0,74.0,0.300832
75.0,75.0,0.01584496
76.0,76.0,0.06288985
77.0,77.0,0.81578636
78.0,78.0,0.8457273
79.0,79.0,0.47098324
80.0,80.0,0.33488342
81.0,81.0,0.1205557
82.0,82.0,0.72957903
83.0,83.0,0.4533839
84.0,84.0,0.034433283
85.0,85.0,0.6122998
86.0,86.0,2.7804475E-4
87.0,87.0,0.04274983
88.0,88.0,0.19215491
89.0,89.0,0.87785476
90.0,90.0,0.2520556
91.0,91.0,0.57333326
92.0,92.0,0.26750922
93.0,93.0,0.3786324
94.0,94.0,0.220522
95.0,95.0,0.17299423
96.0,96.0,0.4318808
97.0,97.0,0.4411926
98.0,98.0,0.18674259
