Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.46423E-7,0.000024642,0.000152055,1,0,0
2.51966E-7,0.000049839,0.000155475,0.999068901,0,0
3.05955E-7,0.000080434,0.000188786,0.998137803,0,0
3.55521E-7,0.000115986,0.000219367,0.997206704,0,0
4.31335E-7,0.000273364,0.00026614,0.993482309,0,0
5.63756E-7,0.000520878,0.000347832,0.988826816,0,0
1.36847E-6,0.001076713,0.00084412,0.984171322,0,0
2.68902E-6,0.002518891,0.001658011,0.97858473,0,0
3.89109E-6,0.00502032,0.002398297,0.972067039,0,0
5.85894E-6,0.010096178,0.003609002,0.961824953,0,0
1.02377E-5,0.025963833,0.00629771,0.94320298,0,0
1.54105E-5,0.050051239,0.009464669,0.925512104,0,0
2.67622E-5,0.100810731,0.016379222,0.903165736,0,0
4.48685E-5,0.204060582,0.027308385,0.875232775,0,0
5.3025E-5,0.304798442,0.032192003,0.855679702,0,0
6.48352E-5,0.400955081,0.039219795,0.839851024,0,0
7.58435E-5,0.506377566,0.045724417,0.825884544,0,0
8.41242E-5,0.603215158,0.050588282,0.814711359,0,0
9.07719E-5,0.70837888,0.054475052,0.803538175,0,0
9.46513E-5,0.754906461,0.056735907,0.798882682,0,0
9.96968E-5,0.803496744,0.059668242,0.794227188,0,0
1.0419E-4,0.905976585,0.062272236,0.784916201,0,0
1.15371E-4,1.005144628,0.068719716,0.776536313,0,0
1.28486E-4,1.103424228,0.076226414,0.769087523,0,0
1.37779E-4,1.210221435,0.081508899,0.761638734,0,0
1.45078E-4,1.309885369,0.085636351,0.755121043,0,0
1.53263E-4,1.415013417,0.090243173,0.748603352,0,0
1.57798E-4,1.508384235,0.092785688,0.74301676,0,0
1.71431E-4,1.756792147,0.100385962,0.729050279,0,0
1.89688E-4,2.009978658,0.110464263,0.716014898,0,0
1.98247E-4,2.262522004,0.115150298,0.703910615,0,0
2.05627E-4,2.504747666,0.11917119,0.69273743,0,0
2.12789E-4,2.756000193,0.123055087,0.681564246,0,0
2.22819E-4,3.018761178,0.128466496,0.670391061,0,0
2.30406E-4,3.268220981,0.132537163,0.660148976,0,0
2.45346E-4,3.506281252,0.140498198,0.650837989,0,0
2.54416E-4,3.755376491,0.145295041,0.641527002,0,0
2.70149E-4,4.018969934,0.153553501,0.632216015,0,0
2.81172E-4,4.267330454,0.159291571,0.623836127,0,0
2.97961E-4,4.528506037,0.167956605,0.615456238,0,0
3.07669E-4,4.771025696,0.172926552,0.608007449,0,0
3.15995E-4,5.020011624,0.177164634,0.600558659,0,0
3.29851E-4,5.278322851,0.18417065,0.59310987,0,0
