x,y,species cloglog values
1.0,1.0,0.2585381
2.0,2.0,0.61793154
3.0,3.0,0.41129172
4.0,4.0,0.64117974
5.0,5.0,0.26808065
6.0,6.0,0.2730623
7.0,7.0,0.47189632
8.0,8.0,0.083940275
9.0,9.0,0.45088294
10.0,10.0,0.03051287
11.0,11.0,0.09156141
12.0,12.0,0.484263
13.0,13.0,0.73469514
14.0,14.0,0.29624328
15.0,15.0,0.53730905
16.0,16.0,0.17014144
17.0,17.0,0.20080589
18.0,18.0,0.2813287
19.0,19.0,0.25201115
20.0,20.0,0.28837222
21.0,21.0,0.13775632
22.0,22.0,0.35813695
23.0,23.0,0.5952492
24.0,24.0,0.28458068
25.0,25.0,0.5725666
26.0,26.0,0.43604717
27.0,27.0,0.36835742
28.0,28.0,0.37216684
29.0,29.0,0.73902625
30.0,30.0,0.6093986
31.0,31.0,0.1900315
32.0,32.0,0.5357887
33.0,33.0,0.4339557
34.0,34.0,0.666073
35.0,35.0,0.047584124
36.0,36.0,0.30557245
37.0,37.0,0.6199782
38.0,38.0,0.20781326
39.0,39.0,0.22747673
40.0,40.0,0.7449388
41.0,41.0,0.6551976
42.0,42.0,0.085971646
43.0,43.0,0.6257517
44.0,44.0,0.08195562
45.0,45.0,0.40988204
46.0,46.0,0.00178255
47.0,47.0,0.15559343
48.0,48.0,0.55802476
49.0,49.0,0.54786086
50.0,50.0,0.16671723
51.0,51.0,0.04392773
52.0,52.0,0.7965964
53.0,53.0,0.44101542
54.0,54.0,0.14934456
55.0,55.0,0.92039233
56.0,56.0,0.2811765
57.0,57.0,0.17401057
58.0,58.0,0.67369676
59.0,59.0,0.7293998
60.0,60.0,0.49479124
61.0,61.0,0.14456189
62.0,62.0,0.073531255
63.0,63.0,0.5683813
64.0,64.0,0.54214936
65.0,65.0,0.22802813
66.0,66.0,0.47057694
67.0,67.0,0.1122776
68.0,68.0,0.43578574
69.0,69.0,0.40212303
70.0,70.0,0.19713674
71.0,71.0,0.7799276
72.0,72.0,0.5623583
73.0,73.0,0.80033743
74.0,74.0,0.13923082
75.0,75.0,0.17329393
76.0,76.0,0.03859167
77.0,77.0,0.17357713
78.0,78.0,0.2678488
79.0,79.0,0.2628012
80.0,80.0,0.8500257
81.0,81.0,0.55201507
82.0,82.0,0.6054548
83.0,83.0,0.694428
84.0,84.0,0.25614738
85.0,85.0,0.29040074
86.0,86.0,0.5785514
87.0,87.0,0.3066481
88.0,88.0,0.032299913
89.0,89.0,0.78947985
90.0,90.0,0.3845585
91.0,91.0,0.50021416
92.0,92.0,0.9400078
93.0,93.0,0.04725571
94.0,94.0,0.54041594
95.0,95.0,0.33843875
96.0,96.0,0.1837078
97.0,97.0,0.30995867
98.0,98.0,0.5907038
99.0,99.0,0.11031172
100.0,100.0,0.7479124
101.0,101.0,0.50461143
102.0,102.0,0.11074382
103.0,103.0,0.59102774
104.0,104.0,0.35590008
105.0,105.0,0.4096354
106.0,106.0,0.5471376
107.0,107.0,0.37179762
108.0,108.0,0.054208018
109.0,109.0,0.54260266
110.0,110.0,0.22797923
111.0,111.0,0.5761045
112.0,112.0,0.8259021
113.0,113.0,0.13325374
114.0,114.0,0.20207395
115.0,115.0,0.49660414
116.0,116.0,0.17815566
117.0,117.0,0.16038759
118.0,118.0,0.40446687
119.0,119.0,0.09422951
120.0,120.0,0.36506748
121.0,121.0,0.7182047
122.0,122.0,0.069915734
123.0,123.0,0.1657165
124.0,124.0,0.07308633
125.0,125.0,0.05605262
126.0,126.0,0.16141415
127.0,127.0,0.33561093
128.0,128.0,0.8592958
129.0,129.0,0.8117385
130.0,130.0,0.8032102
131.0,131.0,0.1467169
132.0,132.0,0.07638225
133.0,133.0,0.4000837
134.0,134.0,0.291625
135.0,135.0,0.7238328
136.0,136.0,0.21167846
137.0,137.0,0.17127153
138.0,138.0,0.6779687
139.0,139.0,0.4159254
140.0,140.0,0.19339687
141.0,141.0,0.2943762
142.0,142.0,0.096196674
143.0,143.0,0.44858488
144.0,144.0,0.3567153
145.0,145.0,0.3217446
146.0,146.0,0.1835685
147.0,147.0,0.09653641
148.0,148.0,0.15745454
149.0,149.0,0.6390997
150.0,150.0,0.12787558
151.0,151.0,0.06824763
152.0,152.0,0.39872104
153.0,153.0,0.27194723
154.0,154.0,0.43458995
155.0,155.0,0.50568515
156.0,156.0,0.7379721
157.0,157.0,0.048110265
158.0,158.0,0.5976618
159.0,159.0,0.69056267
160.0,160.0,0.20858924
161.0,161.0,0.541331
162.0,162.0,0.12318948
163.0,163.0,0.028686384
164.0,164.0,0.05561205
165.0,165.0,0.63915575
166.0,166.0,0.095232375
167.0,167.0,0.16602483
168.0,168.0,0.5778222
169.0,169.0,0.23051168
170.0,170.0,0.13622324
171.0,171.0,0.22868341
172.0,172.0,0.22606032
173.0,173.0,0.22304143
174.0,174.0,0.094502926
175.0,175.0,0.026529597
176.0,176.0,0.16783883
177.0,177.0,0.10721913
178.0,178.0,0.049026094
179.0,179.0,0.70871025
180.0,180.0,0.09374151
181.0,181.0,0.65019405
182.0,182.0,0.27353194
183.0,183.0,0.127319
184.0,184.0,0.47126508
185.0,185.0,0.30376193
186.0,186.0,0.2216814
187.0,187.0,0.15553875
188.0,188.0,0.28787625
189.0,189.0,0.14109634
190.0,190.0,0.30629328
191.0,191.0,0.79629284
192.0,192.0,0.77616227
193.0,193.0,0.47946978
194.0,194.0,0.08884667
195.0,195.0,0.23607513
196.0,196.0,0.2890554
197.0,197.0,0.18828975
198.0,198.0,0.3654926
199.0,199.0,0.22348991
200.0,200.0,0.58443725
201.0,201.0,0.524063
202.0,202.0,0.8414191
203.0,203.0,0.5668278
204.0,204.0,0.11195808
205.0,205.0,0.7175348
206.0,206.0,0.09115247
207.0,207.0,0.09266431
208.0,208.0,0.45454437
209.0,209.0,0.61426
210.0,210.0,0.34962064
211.0,211.0,0.07870054
212.0,212.0,0.31553146
213.0,213.0,0.4423955
214.0,214.0,0.88803035
215.0,215.0,0.26768103
216.0,216.0,0.08464724
217.0,217.0,0.44141194
218.0,218.0,0.32289898
219.0,219.0,0.52006453
220.0,220.0,0.13450222
221.0,221.0,0.29301584
222.0,222.0,0.49654472
223.0,223.0,0.13918608
224.0,224.0,0.19167982
225.0,225.0,0.4735575
226.0,226.0,0.5936302
227.0,227.0,0.508739
228.0,228.0,0.13578449
229.0,229.0,0.1062651
230.0,230.0,0.19014715
231.0,231.0,0.2507363
232.0,232.0,0.16125643
233.0,233.0,0.16440304
234.0,234.0,0.10906891
235.0,235.0,0.6978053
236.0,236.0,0.53576565
237.0,237.0,0.5477748
238.0,238.0,0.09391529
239.0,239.0,0.14985728
240.0,240.0,0.19263962
241.0,241.0,0.03814844
242.0,242.0,0.22605793
243.0,243.0,0.050319105
244.0,244.0,0.36554372
245.0,245.0,0.6698626
246.0,246.0,0.57246023
247.0,247.0,0.3222656
248.0,248.0,0.12657188
249.0,249.0,0.59210324
250.0,250.0,0.20338906
251.0,251.0,0.17224635
252.0,252.0,0.32239386
253.0,253.0,0.6913159
254.0,254.0,0.25919804
255.0,255.0,0.4258199
256.0,256.0,0.3098312
257.0,257.0,0.41319045
258.0,258.0,0.10262017
259.0,259.0,0.09421937
260.0,260.0,0.7897698
261.0,261.0,0.52244526
262.0,262.0,0.14418969
263.0,263.0,0.4293236
264.0,264.0,0.08709753
265.0,265.0,0.5252635
266.0,266.0,0.185577
267.0,267.0,0.06126446
268.0,268.0,0.32704002
269.0,269.0,0.39357933
270.0,270.0,0.6956158
271.0,271.0,0.16913407
272.0,272.0,0.063274674
273.0,273.0,0.13980836
274.0,274.0,0.18948777
275.0,275.0,0.53990144
276.0,276.0,0.28273064
277.0,277.0,0.5832467
278.0,278.0,0.4679498
279.0,279.0,0.35042202
280.0,280.0,0.51707494
281.0,281.0,0.07604606
282.0,282.0,0.049132682
283.0,283.0,0.25588903
284.0,284.0,0.34801635
285.0,285.0,0.17750703
286.0,286.0,0.23237951
287.0,287.0,0.78000456
288.0,288.0,0.38125113
289.0,289.0,0.7588009
290.0,290.0,0.8738186
291.0,291.0,0.16692084
292.0,292.0,0.23197834
293.0,293.0,0.90202004
294.0,294.0,0.14509232
295.0,295.0,0.6230071
296.0,296.0,0.3999236
297.0,297.0,0.26679203
298.0,298.0,0.38728204
299.0,299.0,0.23662557
300.0,300.0,0.226934
301.0,301.0,0.18863529
302.0,302.0,0.059974384
303.0,303.0,0.15870531
304.0,304.0,0.34057796
305.0,305.0,0.8228334
306.0,306.0,0.5838323
307.0,307.0,0.66207397
308.0,308.0,0.27589598
309.0,309.0,0.28407133
310.0,310.0,0.22977625
311.0,311.0,0.63490856
312.0,312.0,0.15597679
313.0,313.0,0.15340316
314.0,314.0,0.30564386
315.0,315.0,0.1913702
316.0,316.0,0.5050999
317.0,317.0,0.5647015
318.0,318.0,0.29023606
319.0,319.0,0.07234249
320.0,320.0,0.26353154
321.0,321.0,0.25775775
322.0,322.0,0.13408116
323.0,323.0,0.1047641
324.0,324.0,0.12096779
325.0,325.0,0.7345754
326.0,326.0,0.2305953
327.0,327.0,0.10167701
328.0,328.0,0.4437524
329.0,329.0,0.46336406
