Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.34897E-6,0.000234897,0.00178255,1,0,0
2.71731E-6,0.000506628,0.00206178,0.999115827,0,0
6.96235E-6,0.001665976,0.005274228,0.99734748,0,0
1.06011E-5,0.002726087,0.008019643,0.996463307,0,0
1.32753E-5,0.005326655,0.010032479,0.99469496,0,0
2.31485E-5,0.010981895,0.01742857,0.99204244,0,0
3.36902E-5,0.026202825,0.025264424,0.987621574,0,0
4.30752E-5,0.053641077,0.032187985,0.981432361,0,0
5.79001E-5,0.103500203,0.04302448,0.972590628,0,0
7.86962E-5,0.207341417,0.058021667,0.959328028,0,0
9.5102E-5,0.301167901,0.069686666,0.949602122,0,0
1.03889E-4,0.401292446,0.075874913,0.940760389,0,0
1.14579E-4,0.509561593,0.083348311,0.931918656,0,0
1.1886E-4,0.603500466,0.086323877,0.92484527,0,0
1.21669E-4,0.700118526,0.088271351,0.917771883,0,0
1.24954E-4,0.761954437,0.090543166,0.913351017,0,0
1.26429E-4,0.812416554,0.091561404,0.909814324,0,0
1.28261E-4,0.901662459,0.092824344,0.903625111,0,0
1.30699E-4,1.005682516,0.094502926,0.896551724,0,0
1.34359E-4,1.11177366,0.097016558,0.889478338,0,0
1.38843E-4,1.207465629,0.100086579,0.883289125,0,0
1.4724E-4,1.307914746,0.105808126,0.877099912,0,0
1.49896E-4,1.412088134,0.107609961,0.870910698,0,0
1.55843E-4,1.504592049,0.111631702,0.865605659,0,0
1.71637E-4,1.750360112,0.12222502,0.852343059,0,0
1.81652E-4,2.017115111,0.128876754,0.83908046,0.007633588,0
1.90662E-4,2.260610937,0.134817857,0.827586207,0.015267176,0
2.03024E-4,2.516936346,0.142904011,0.816091954,0.015267176,0
2.0695E-4,2.763060154,0.14545589,0.805481874,0.015267176,0
2.13666E-4,3.015044039,0.14980377,0.794871795,0.015267176,0
2.22662E-4,3.254888109,0.155593428,0.785145889,0.015267176,0
2.334E-4,3.505983178,0.162452239,0.775419982,0.015267176,0
2.44449E-4,3.770093266,0.169451322,0.765694076,0.022900763,0
2.4881E-4,4.016977915,0.172197804,0.756852343,0.022900763,0
2.56075E-4,4.269561865,0.176753052,0.74801061,0.022900763,0
2.62539E-4,4.502973095,0.180785209,0.74005305,0.030534351,0
2.702E-4,4.77091404,0.185538312,0.731211317,0.030534351,0
2.766E-4,5.016607797,0.189487776,0.723253758,0.030534351,0
2.80755E-4,5.267635234,0.192041672,0.715296198,0.030534351,0
2.92126E-4,5.525696297,0.19898965,0.707338638,0.030534351,0
2.98057E-4,5.762099991,0.202590224,0.700265252,0.030534351,0
3.0565E-4,6.003735982,0.207175734,0.693191866,0.030534351,0
3.1882E-4,6.253198438,0.215066798,0.686118479,0.030534351,0
3.32643E-4,6.515811657,0.223264828,0.679045093,0.030534351,0
3.38877E-4,6.750887597,0.226934008,0.67285588,0.030534351,0
3.43726E-4,7.023750468,0.229776252,0.665782493,0.030534351,0
3.4963E-4,7.26664815,0.233222456,0.65959328,0.038167939,0
3.54726E-4,7.513526525,0.236184684,0.653404067,0.038167939,0
3.61895E-4,7.763746581,0.240332274,0.647214854,0.038167939,0
3.74815E-4,8.023061742,0.247750528,0.641025641,0.038167939,0
