"","V1"
"X.Training.samples",71
"Regularized.training.gain",0.3827
"Unregularized.training.gain",0.5447
"Iterations",500
"Training.AUC",0.7856
"X.Background.points",1071
"bio01nz.contribution",15.1409
"bio05nz.contribution",34.4903
"bio06nz.contribution",6.0338
"bio12nz.contribution",3.578
"bio13nz.contribution",37.4807
"bio14nz.contribution",3.2763
"bio01nz.permutation.importance",7.3435
"bio05nz.permutation.importance",21.8315
"bio06nz.permutation.importance",6.0023
"bio12nz.permutation.importance",0
"bio13nz.permutation.importance",48.9402
"bio14nz.permutation.importance",15.8825
"Entropy",6.5932
"Prevalence..average.probability.of.presence.over.background.sites.",0.4122
"Fixed.cumulative.value.1.cumulative.threshold",1
"Fixed.cumulative.value.1.Cloglog.threshold",0.1087
"Fixed.cumulative.value.1.area",0.8992
"Fixed.cumulative.value.1.training.omission",0
"Fixed.cumulative.value.5.cumulative.threshold",5
"Fixed.cumulative.value.5.Cloglog.threshold",0.2185
"Fixed.cumulative.value.5.area",0.7554
"Fixed.cumulative.value.5.training.omission",0.0141
"Fixed.cumulative.value.10.cumulative.threshold",10
"Fixed.cumulative.value.10.Cloglog.threshold",0.2904
"Fixed.cumulative.value.10.area",0.6396
"Fixed.cumulative.value.10.training.omission",0.0282
"Minimum.training.presence.cumulative.threshold",3.3297
"Minimum.training.presence.Cloglog.threshold",0.1953
"Minimum.training.presence.area",0.8049
"Minimum.training.presence.training.omission",0
"X10.percentile.training.presence.cumulative.threshold",16.3028
"X10.percentile.training.presence.Cloglog.threshold",0.3556
"X10.percentile.training.presence.area",0.5303
"X10.percentile.training.presence.training.omission",0.0986
"Equal.training.sensitivity.and.specificity.cumulative.threshold",37.0883
"Equal.training.sensitivity.and.specificity.Cloglog.threshold",0.5495
"Equal.training.sensitivity.and.specificity.area",0.2885
"Equal.training.sensitivity.and.specificity.training.omission",0.2817
"Maximum.training.sensitivity.plus.specificity.cumulative.threshold",35.3858
"Maximum.training.sensitivity.plus.specificity.Cloglog.threshold",0.5334
"Maximum.training.sensitivity.plus.specificity.area",0.3035
"Maximum.training.sensitivity.plus.specificity.training.omission",0.2535
"Balance.training.omission..predicted.area.and.threshold.value.cumulative.threshold",3.3297
"Balance.training.omission..predicted.area.and.threshold.value.Cloglog.threshold",0.1953
"Balance.training.omission..predicted.area.and.threshold.value.area",0.8049
"Balance.training.omission..predicted.area.and.threshold.value.training.omission",0
"Equate.entropy.of.thresholded.and.original.distributions.cumulative.threshold",7.9955
"Equate.entropy.of.thresholded.and.original.distributions.Cloglog.threshold",0.2662
"Equate.entropy.of.thresholded.and.original.distributions.area",0.6816
"Equate.entropy.of.thresholded.and.original.distributions.training.omission",0.0141
