x,y,species cloglog values
1.0,1.0,0.64065564
2.0,2.0,0.050798193
3.0,3.0,0.17497034
4.0,4.0,0.42471933
5.0,5.0,0.69141513
6.0,6.0,0.5317584
7.0,7.0,0.68477637
8.0,8.0,0.52868533
9.0,9.0,0.48086572
10.0,10.0,0.590616
11.0,11.0,0.3765818
12.0,12.0,0.2500118
13.0,13.0,0.13440251
14.0,14.0,0.3410333
15.0,15.0,0.4598601
16.0,16.0,0.40594116
17.0,17.0,0.3769642
18.0,18.0,0.3797558
19.0,19.0,0.33019418
20.0,20.0,0.36255214
21.0,21.0,0.7077472
22.0,22.0,0.42580003
23.0,23.0,0.3013776
24.0,24.0,0.21007125
25.0,25.0,0.03960537
26.0,26.0,0.64732635
27.0,27.0,0.5158684
28.0,28.0,0.32421464
29.0,29.0,0.029012084
30.0,30.0,0.20267886
31.0,31.0,0.16869423
32.0,32.0,0.17905639
33.0,33.0,0.5392816
34.0,34.0,0.78255
35.0,35.0,0.10345314
36.0,36.0,0.45643985
37.0,37.0,0.14769702
38.0,38.0,0.51714593
39.0,39.0,0.048236907
40.0,40.0,0.37483263
41.0,41.0,0.072519496
42.0,42.0,0.24251628
43.0,43.0,0.03498637
44.0,44.0,0.8378578
45.0,45.0,0.780007
46.0,46.0,0.74635065
47.0,47.0,0.33809644
48.0,48.0,0.36327782
49.0,49.0,0.7066784
50.0,50.0,0.5576748
51.0,51.0,0.251451
52.0,52.0,0.6486442
53.0,53.0,0.20712444
54.0,54.0,0.5117309
55.0,55.0,0.44421896
56.0,56.0,0.64257836
57.0,57.0,0.099695936
58.0,58.0,0.5321446
59.0,59.0,0.6602628
60.0,60.0,0.3871394
61.0,61.0,0.502378
62.0,62.0,0.6406823
63.0,63.0,0.18397388
64.0,64.0,0.62290204
65.0,65.0,0.9729608
66.0,66.0,0.036086
67.0,67.0,0.51439697
68.0,68.0,0.08498616
69.0,69.0,0.78769386
70.0,70.0,0.5009904
71.0,71.0,0.23804629
72.0,72.0,0.4821071
73.0,73.0,0.20366535
74.0,74.0,0.07209334
75.0,75.0,0.1966063
76.0,76.0,0.29774365
77.0,77.0,0.13927168
78.0,78.0,0.79468465
79.0,79.0,0.5510248
80.0,80.0,0.44580814
81.0,81.0,0.7867707
82.0,82.0,0.13342416
83.0,83.0,0.7871756
84.0,84.0,0.23901796
85.0,85.0,0.9002856
86.0,86.0,0.2210747
87.0,87.0,0.15926221
88.0,88.0,0.33224958
89.0,89.0,0.047711153
90.0,90.0,0.35252625
91.0,91.0,0.7947484
92.0,92.0,0.41976506
93.0,93.0,0.36828718
94.0,94.0,0.76802415
95.0,95.0,0.47928044
96.0,96.0,0.17701319
97.0,97.0,0.2880455
98.0,98.0,0.64474064
99.0,99.0,0.3207214
100.0,100.0,0.30740333
101.0,101.0,0.44816786
102.0,102.0,0.16674164
103.0,103.0,0.27128595
104.0,104.0,0.32899088
105.0,105.0,0.13386513
106.0,106.0,0.23139417
107.0,107.0,0.435863
108.0,108.0,0.46163416
109.0,109.0,0.10335642
110.0,110.0,0.39742252
111.0,111.0,0.43234774
112.0,112.0,0.23298804
113.0,113.0,0.7085591
114.0,114.0,0.3932488
115.0,115.0,0.10816773
116.0,116.0,0.09710061
117.0,117.0,0.14358743
118.0,118.0,0.38719398
119.0,119.0,0.053232048
120.0,120.0,0.09877205
121.0,121.0,0.9761907
122.0,122.0,0.07595769
123.0,123.0,0.51507896
124.0,124.0,0.5687464
125.0,125.0,0.17161487
126.0,126.0,0.26977712
127.0,127.0,0.3691812
128.0,128.0,0.2911681
129.0,129.0,0.6021834
130.0,130.0,0.34370828
131.0,131.0,0.23859012
132.0,132.0,0.6634133
133.0,133.0,0.56179523
