Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.50847E-5,0.001508474,0.010953502,1,0,0
2.6786E-5,0.004187077,0.01936747,0.999066293,0,0
2.7152E-5,0.006902274,0.019629445,0.998132586,0,0
2.87217E-5,0.012515783,0.0207524,0.996265173,0,0
3.3118E-5,0.028113021,0.023890689,0.991596639,0,0
4.87758E-5,0.054578881,0.034986368,0.985994398,0,0
5.52148E-5,0.102294057,0.039512546,0.977591036,0,0
7.49191E-5,0.203921076,0.053232046,0.962651727,0,0
8.54093E-5,0.302491145,0.06045586,0.951447246,0,0
1.00048E-4,0.406978436,0.070444749,0.941176471,0,0
1.16546E-4,0.500845328,0.081574762,0.932773109,0,0
1.28277E-4,0.61230231,0.089407282,0.924369748,0,0
1.41317E-4,0.708141191,0.098036083,0.9178338,0,0
1.43299E-4,0.750951955,0.099340396,0.91503268,0,0
1.46188E-4,0.80886273,0.101238078,0.911297852,0,0
1.49996E-4,0.912606615,0.103733546,0.904761905,0,0
1.57559E-4,1.004821381,0.108669183,0.899159664,0,0
1.65513E-4,1.10205132,0.1138307,0.893557423,0,0
1.77465E-4,1.206053017,0.121530336,0.887955182,0,0
1.83388E-4,1.314151378,0.125320921,0.882352941,0,0
1.90638E-4,1.407861971,0.129939217,0.877684407,0,0
2.00195E-4,1.506658545,0.135989052,0.873015873,0,0
2.13523E-4,1.756234378,0.144355915,0.861811391,0,0
2.2772E-4,2.001088245,0.153179587,0.851540616,0,0
2.47049E-4,2.263758412,0.165046795,0.841269841,0,0
2.57477E-4,2.517623563,0.171379676,0.831932773,0,0
2.72695E-4,2.75824748,0.180536173,0.823529412,0,0
2.84547E-4,3.008506191,0.187596496,0.81512605,0,0
2.96328E-4,3.270215238,0.194554651,0.806722689,0,0
2.99828E-4,3.509085511,0.196610305,0.799253035,0.014084507,0
3.08412E-4,3.752464026,0.201630086,0.79178338,0.014084507,0
3.1578E-4,4.002710341,0.205913428,0.784313725,0.014084507,0
3.22231E-4,4.258353011,0.209644832,0.776844071,0.014084507,0
3.29069E-4,4.518210388,0.213581193,0.769374416,0.014084507,0
3.33992E-4,4.75054005,0.216402815,0.762838469,0.014084507,0
3.37699E-4,5.019401971,0.218520917,0.755368814,0.014084507,0
3.43122E-4,5.258388368,0.221609027,0.748832866,0.014084507,0
3.48859E-4,5.500405087,0.224862569,0.742296919,0.014084507,0
3.56531E-4,5.783058888,0.229192492,0.734827264,0.014084507,0
3.64306E-4,6.036304996,0.233555978,0.728291317,0.014084507,0
3.69257E-4,6.256841796,0.236321664,0.722689076,0.014084507,0
3.74102E-4,6.51788699,0.239017959,0.716153128,0.014084507,0
3.80517E-4,6.781871968,0.242574202,0.70961718,0.014084507,0
3.91642E-4,7.013094477,0.248701763,0.704014939,0.014084507,0
3.97126E-4,7.289532691,0.251703979,0.697478992,0.014084507,0
4.13888E-4,7.533840498,0.260805869,0.691876751,0.014084507,0
4.19914E-4,7.784088226,0.264051268,0.68627451,0.014084507,0
4.2396E-4,8.037874836,0.266222376,0.680672269,0.014084507,0
4.30839E-4,8.295219296,0.269898585,0.675070028,0.014084507,0
4.37343E-4,8.512762266,0.273357505,0.670401494,0.014084507,0
4.42734E-4,8.777615927,0.276212012,0.664799253,0.014084507,0
4.48229E-4,9.000234453,0.279110139,0.660130719,0.014084507,0
4.50258E-4,9.269701842,0.280177106,0.654528478,0.028169014,0
4.55223E-4,9.541798036,0.282781768,0.648926237,0.028169014,0
4.62736E-4,9.771474771,0.286705414,0.644257703,0.028169014,0
4.69819E-4,10.004448484,0.290384664,0.639589169,0.028169014,0
4.78859E-4,10.289739547,0.29505331,0.633986928,0.028169014,0
4.87361E-4,10.53167865,0.299415657,0.629318394,0.042253521,0
4.91591E-4,10.776752859,0.301576025,0.62464986,0.056338028,0
4.96763E-4,11.023737549,0.304208586,0.619981326,0.056338028,0
5.01172E-4,11.2735058,0.306444803,0.615312792,0.070422535,0
5.06403E-4,11.525534444,0.309088643,0.610644258,0.070422535,0
5.15252E-4,11.781815136,0.31353796,0.605975724,0.070422535,0
5.25005E-4,12.041727284,0.318409131,0.60130719,0.070422535,0
5.27207E-4,12.252161929,0.319504306,0.597572362,0.070422535,0
5.29379E-4,12.51654258,0.32058255,0.592903828,0.070422535,0
5.322E-4,12.782041631,0.32198018,0.588235294,0.070422535,0
5.38206E-4,13.05039401,0.324947142,0.58356676,0.070422535,0
5.42671E-4,13.266649045,0.327144335,0.579831933,0.070422535,0
5.46597E-4,13.539460369,0.329070052,0.575163399,0.070422535,0
5.51099E-4,13.759205566,0.331272006,0.571428571,0.070422535,0
5.59187E-4,14.03728352,0.33520945,0.566760037,0.070422535,0
5.6579E-4,14.262770067,0.338406639,0.56302521,0.070422535,0
5.72074E-4,14.547888936,0.341435187,0.558356676,0.070422535,0
5.73874E-4,14.776997107,0.342300281,0.554621849,0.070422535,0
5.76809E-4,15.00732335,0.343708274,0.550887021,0.084507042,0
5.84229E-4,15.297519564,0.347254046,0.546218487,0.098591549,0
5.8635E-4,15.531755249,0.348264273,0.54248366,0.098591549,0
5.88609E-4,15.767030846,0.349338157,0.538748833,0.098591549,0
5.92713E-4,16.003520494,0.351285042,0.535014006,0.098591549,0
6.01764E-4,16.302833795,0.355557843,0.530345472,0.098591549,0
6.05165E-4,16.544208298,0.357156257,0.526610644,0.112676056,0
6.10787E-4,16.787748913,0.359789643,0.522875817,0.112676056,0
6.1376E-4,17.0329318,0.361177582,0.51914099,0.126760563,0
6.1827E-4,17.279426794,0.363277818,0.515406162,0.126760563,0
6.24308E-4,17.528423759,0.366078903,0.511671335,0.126760563,0
6.31027E-4,17.780193347,0.369181201,0.507936508,0.126760563,0
6.34486E-4,18.033593601,0.370772037,0.504201681,0.126760563,0
6.39743E-4,18.289041267,0.373182687,0.500466853,0.14084507,0
6.42345E-4,18.545462934,0.374372505,0.496732026,0.154929577,0
6.47689E-4,18.80354259,0.376808997,0.492997199,0.154929577,0
6.48271E-4,19.062762963,0.377073687,0.489262372,0.154929577,0
6.51381E-4,19.257862433,0.378486414,0.486461251,0.154929577,0
6.54571E-4,19.51930671,0.379932436,0.482726424,0.154929577,0
6.60423E-4,19.782220948,0.382575892,0.478991597,0.169014085,0
6.64956E-4,20.047864952,0.384616185,0.475256769,0.169014085,0
6.72129E-4,20.315727404,0.387830735,0.471521942,0.169014085,0
6.81133E-4,20.519650577,0.3918422,0.468720822,0.169014085,0
6.82808E-4,20.792418833,0.392585167,0.464985994,0.169014085,0
6.84305E-4,21.065890247,0.393248796,0.461251167,0.169014085,0
6.91944E-4,21.272245689,0.396623785,0.458450047,0.169014085,0
6.98687E-4,21.55066851,0.399586977,0.454715219,0.183098592,0
7.05674E-4,21.761973392,0.402642251,0.451914099,0.183098592,0
7.12252E-4,22.04573602,0.405504217,0.448179272,0.183098592,0
7.13259E-4,22.259633258,0.405941165,0.445378151,0.183098592,0
7.22799E-4,22.546725832,0.410064567,0.441643324,0.183098592,0
7.27078E-4,22.764199262,0.411904897,0.438842204,0.183098592,0
7.31979E-4,23.056255447,0.4140057,0.435107376,0.183098592,0
7.39757E-4,23.276761125,0.417324234,0.432306256,0.183098592,0
7.4583E-4,23.574109254,0.419901865,0.428571429,0.183098592,0
7.47898E-4,23.798213872,0.420777409,0.425770308,0.183098592,0
7.51942E-4,24.02315548,0.422484907,0.422969188,0.183098592,0
7.57251E-4,24.324796653,0.424719333,0.41923436,0.183098592,0
7.64437E-4,24.553020355,0.427729708,0.41643324,0.183098592,0
7.75534E-4,24.784289023,0.432347755,0.41363212,0.183098592,0
7.81826E-4,25.018206039,0.434949506,0.410830999,0.183098592,0
7.85805E-4,25.253631955,0.436588931,0.408029879,0.183098592,0
7.98732E-4,25.571342087,0.441881616,0.404295051,0.183098592,0
8.02503E-4,25.811705444,0.443416144,0.401493931,0.183098592,0
8.11388E-4,26.054132439,0.447015088,0.39869281,0.183098592,0
8.14844E-4,26.298199481,0.448408822,0.39589169,0.183098592,0
8.16981E-4,26.543144537,0.449268666,0.39309057,0.197183099,0
8.27871E-4,26.789811418,0.453630257,0.390289449,0.197183099,0
8.3556E-4,27.040108799,0.456689022,0.387488329,0.197183099,0
8.43577E-4,27.291683156,0.459860086,0.384687208,0.211267606,0
8.47005E-4,27.545478087,0.461210161,0.381886088,0.211267606,0
8.48702E-4,27.799923732,0.46187747,0.379084967,0.211267606,0
8.55514E-4,28.055923874,0.464547248,0.376283847,0.211267606,0
8.69993E-4,28.316863466,0.470177928,0.373482726,0.211267606,0
8.78034E-4,28.579422365,0.473279717,0.370681606,0.211267606,0
8.86854E-4,28.756456973,0.476660446,0.368814192,0.211267606,0
8.93727E-4,29.024023039,0.479280452,0.366013072,0.211267606,0
8.97903E-4,29.293220219,0.480865703,0.363211951,0.211267606,0
9.02965E-4,29.563541652,0.482780799,0.360410831,0.211267606,0
9.05755E-4,29.835027233,0.483833402,0.357609711,0.211267606,0
9.10417E-4,30.017028797,0.485587119,0.355742297,0.211267606,0
9.20664E-4,30.29281571,0.489421756,0.352941176,0.225352113,0
9.29113E-4,30.57075689,0.492561563,0.350140056,0.225352113,0
9.36526E-4,30.757964326,0.495300586,0.348272642,0.225352113,0
9.37908E-4,31.039259692,0.495809842,0.345471522,0.225352113,0
9.43178E-4,31.321793742,0.497745956,0.342670401,0.225352113,0
9.46899E-4,31.51084142,0.499108692,0.340802988,0.225352113,0
9.52054E-4,31.796181267,0.500990379,0.338001867,0.225352113,0
9.59564E-4,32.083613232,0.503719303,0.335200747,0.225352113,0
9.68493E-4,32.276955404,0.506944302,0.333333333,0.23943662,0
9.76578E-4,32.56973033,0.50984631,0.330532213,0.23943662,0
9.78233E-4,32.76521585,0.510438109,0.328664799,0.23943662,0
9.82424E-4,33.059756536,0.511933838,0.325863679,0.253521127,0
9.865E-4,33.256772282,0.513384375,0.323996265,0.253521127,0
9.91278E-4,33.553732405,0.515078939,0.321195145,0.253521127,0
9.9351E-4,33.752384422,0.515868403,0.319327731,0.253521127,0
9.99718E-4,34.052005793,0.518057845,0.316526611,0.253521127,0
1.00202E-3,34.252261494,0.518867992,0.314659197,0.253521127,0
1.02657E-3,34.557490637,0.52741509,0.311858077,0.253521127,0
1.02722E-3,34.7629215,0.527639125,0.309990663,0.253521127,0
1.03922E-3,35.073024582,0.531758404,0.307189542,0.253521127,0
1.04366E-3,35.281424984,0.533273992,0.305322129,0.253521127,0
1.04693E-3,35.595127368,0.534386447,0.302521008,0.267605634,0
1.04796E-3,35.804695109,0.534738614,0.300653595,0.267605634,0
1.05603E-3,36.015485745,0.537472172,0.298786181,0.267605634,0
1.06567E-3,36.334218682,0.540716659,0.295985061,0.267605634,0
1.06958E-3,36.547880592,0.542025585,0.294117647,0.281690141,0
1.07893E-3,36.762945848,0.545140102,0.292250233,0.281690141,0
1.09201E-3,37.088281409,0.549463649,0.289449113,0.281690141,0
1.09476E-3,37.307168682,0.55036847,0.287581699,0.295774648,0
1.09727E-3,37.526572431,0.551192355,0.285714286,0.295774648,0
1.10901E-3,37.858510963,0.555021337,0.282913165,0.295774648,0
1.1172E-3,38.08175845,0.557674846,0.281045752,0.295774648,0
1.12529E-3,38.306075041,0.560278125,0.279178338,0.295774648,0
1.1263E-3,38.531295414,0.560602697,0.277310924,0.295774648,0
1.13178E-3,38.757475694,0.56235948,0.275443511,0.309859155,0
1.13738E-3,39.097962777,0.564143236,0.27264239,0.309859155,0
1.14225E-3,39.326018764,0.565690417,0.270774977,0.309859155,0
1.15192E-3,39.556368164,0.56874638,0.268907563,0.323943662,0
1.1569E-3,39.787370635,0.570310592,0.267040149,0.323943662,0
1.16137E-3,40.019360908,0.571712675,0.265172736,0.323943662,0
1.16684E-3,40.252359836,0.573419449,0.263305322,0.323943662,0
1.17253E-3,40.603496864,0.575186196,0.260504202,0.323943662,0
1.17821E-3,40.838891399,0.57694459,0.258636788,0.323943662,0
1.18736E-3,41.075486646,0.579763149,0.256769374,0.323943662,0
1.19386E-3,41.313882252,0.581750994,0.254901961,0.323943662,0
1.19931E-3,41.553344526,0.583413337,0.253034547,0.323943662,0
1.20012E-3,41.793288271,0.583659942,0.251167134,0.338028169,0
1.20313E-3,42.033809296,0.584575009,0.24929972,0.338028169,0
1.21243E-3,42.275646176,0.587385142,0.247432306,0.338028169,0
1.21584E-3,42.51872534,0.588409567,0.245564893,0.352112676,0
1.23055E-3,42.764099758,0.592807147,0.243697479,0.352112676,0
1.24414E-3,43.012330458,0.59682963,0.241830065,0.366197183,0
1.24926E-3,43.262095117,0.598333376,0.239962652,0.366197183,0
1.25641E-3,43.513238477,0.60042422,0.238095238,0.366197183,0
1.26396E-3,43.765879768,0.602620681,0.236227824,0.38028169,0
1.26966E-3,44.01935778,0.604271458,0.234360411,0.38028169,0
1.27999E-3,44.27476101,0.607244066,0.232492997,0.38028169,0
1.28783E-3,44.531951306,0.609486032,0.230625584,0.38028169,0
1.29273E-3,44.790282833,0.610879683,0.22875817,0.38028169,0
1.3004E-3,45.049904572,0.613054227,0.226890756,0.38028169,0
1.30295E-3,45.310274355,0.613772632,0.225023343,0.38028169,0
1.3083E-3,45.571799431,0.615278627,0.223155929,0.38028169,0
1.3183E-3,45.835147912,0.618077391,0.221288515,0.38028169,0
1.3191E-3,46.098898202,0.6183004,0.219421102,0.394366197,0
1.32724E-3,46.363632682,0.620562646,0.217553688,0.394366197,0
1.33941E-3,46.631144376,0.62391959,0.215686275,0.394366197,0
1.33956E-3,46.76510011,0.62396036,0.214752568,0.394366197,0
1.34841E-3,47.034742068,0.626382557,0.212885154,0.394366197,0
1.3687E-3,47.307901604,0.631876484,0.21101774,0.394366197,0
1.38747E-3,47.584022202,0.63688762,0.209150327,0.394366197,0
1.40186E-3,47.864383524,0.640682295,0.207282913,0.394366197,0
1.40714E-3,48.005097152,0.642064552,0.206349206,0.394366197,0
1.4091E-3,48.286841581,0.642578339,0.204481793,0.408450704,0
1.41873E-3,48.570456188,0.64508206,0.202614379,0.408450704,0
1.42383E-3,48.855204239,0.646400503,0.200746965,0.408450704,0
1.43081E-3,49.141027345,0.64819871,0.198879552,0.408450704,0
1.43255E-3,49.284282051,0.648644227,0.197945845,0.408450704,0
1.43726E-3,49.571391665,0.649851775,0.196078431,0.408450704,0
1.44543E-3,49.860339506,0.651932433,0.194211018,0.408450704,0
1.45412E-3,50.0057511,0.654134124,0.193277311,0.408450704,0
1.45547E-3,50.296802097,0.6544766,0.191409897,0.408450704,0
1.4786E-3,50.591726852,0.660262842,0.189542484,0.422535211,0
1.48096E-3,50.887805664,0.660846038,0.18767507,0.422535211,0
1.48593E-3,51.036398599,0.66207536,0.186741363,0.436619718,0
1.4961E-3,51.335144617,0.664574841,0.18487395,0.436619718,0
1.50468E-3,51.635462689,0.66667053,0.183006536,0.436619718,0
1.51259E-3,51.786721423,0.668589126,0.182072829,0.450704225,0
1.51582E-3,52.089821238,0.669369802,0.180205415,0.450704225,0
1.52545E-3,52.394315365,0.671687947,0.178338002,0.450704225,0
1.5335E-3,52.547665728,0.673611904,0.177404295,0.450704225,0
1.53719E-3,52.854944076,0.674488321,0.175536881,0.450704225,0
1.53728E-3,53.00867167,0.674509639,0.174603175,0.450704225,0
1.54105E-3,53.316682042,0.675406266,0.172735761,0.450704225,0
1.56268E-3,53.628582566,0.680490233,0.170868347,0.450704225,0
1.5651E-3,53.785092708,0.681055716,0.169934641,0.450704225,0
1.57865E-3,54.100632993,0.684194768,0.168067227,0.450704225,0
1.58077E-3,54.258709915,0.684683536,0.16713352,0.450704225,0
1.58117E-3,54.574928225,0.684776367,0.165266106,0.450704225,0
1.587E-3,54.891904968,0.686114968,0.163398693,0.450704225,0
1.59178E-3,55.051083239,0.687208941,0.162464986,0.464788732,0
1.59836E-3,55.370512262,0.688706843,0.160597572,0.464788732,0
1.59994E-3,55.530506685,0.68906733,0.159663866,0.464788732,0
1.60124E-3,55.850715591,0.689360462,0.157796452,0.478873239,0
1.60624E-3,56.011339409,0.690492926,0.156862745,0.478873239,0
1.61033E-3,56.333066453,0.691415124,0.154995331,0.478873239,0
1.61881E-3,56.656709588,0.693320533,0.153127918,0.492957746,0
1.62165E-3,56.818874089,0.693955093,0.152194211,0.492957746,0
