"","V1"
"X.Training.samples",80
"Regularized.training.gain",0.8846
"Unregularized.training.gain",1.0346
"Iterations",420
"Training.AUC",0.8741
"X.Background.points",1080
"bio01nz.contribution",17.3281
"bio05nz.contribution",16.4148
"bio06nz.contribution",13.1073
"bio12nz.contribution",10.4931
"bio13nz.contribution",34.2988
"bio14nz.contribution",8.3579
"bio01nz.permutation.importance",32.9805
"bio05nz.permutation.importance",15.0646
"bio06nz.permutation.importance",2.6092
"bio12nz.permutation.importance",0
"bio13nz.permutation.importance",45.3409
"bio14nz.permutation.importance",4.0049
"Entropy",6.0995
"Prevalence..average.probability.of.presence.over.background.sites.",0.24
"Fixed.cumulative.value.1.cumulative.threshold",1
"Fixed.cumulative.value.1.Cloglog.threshold",0.034
"Fixed.cumulative.value.1.area",0.7741
"Fixed.cumulative.value.1.training.omission",0
"Fixed.cumulative.value.5.cumulative.threshold",5
"Fixed.cumulative.value.5.Cloglog.threshold",0.1068
"Fixed.cumulative.value.5.area",0.525
"Fixed.cumulative.value.5.training.omission",0.025
"Fixed.cumulative.value.10.cumulative.threshold",10
"Fixed.cumulative.value.10.Cloglog.threshold",0.2031
"Fixed.cumulative.value.10.area",0.4009
"Fixed.cumulative.value.10.training.omission",0.05
"Minimum.training.presence.cumulative.threshold",1.6894
"Minimum.training.presence.Cloglog.threshold",0.0486
"Minimum.training.presence.area",0.7046
"Minimum.training.presence.training.omission",0
"X10.percentile.training.presence.cumulative.threshold",20.1721
"X10.percentile.training.presence.Cloglog.threshold",0.3516
"X10.percentile.training.presence.area",0.2676
"X10.percentile.training.presence.training.omission",0.1
"Equal.training.sensitivity.and.specificity.cumulative.threshold",28.9352
"Equal.training.sensitivity.and.specificity.Cloglog.threshold",0.4472
"Equal.training.sensitivity.and.specificity.area",0.1963
"Equal.training.sensitivity.and.specificity.training.omission",0.2
"Maximum.training.sensitivity.plus.specificity.cumulative.threshold",18.1503
"Maximum.training.sensitivity.plus.specificity.Cloglog.threshold",0.3217
"Maximum.training.sensitivity.plus.specificity.area",0.288
"Maximum.training.sensitivity.plus.specificity.training.omission",0.075
"Balance.training.omission..predicted.area.and.threshold.value.cumulative.threshold",3.2205
"Balance.training.omission..predicted.area.and.threshold.value.Cloglog.threshold",0.0763
"Balance.training.omission..predicted.area.and.threshold.value.area",0.6019
"Balance.training.omission..predicted.area.and.threshold.value.training.omission",0.0125
"Equate.entropy.of.thresholded.and.original.distributions.cumulative.threshold",9.4061
"Equate.entropy.of.thresholded.and.original.distributions.Cloglog.threshold",0.1912
"Equate.entropy.of.thresholded.and.original.distributions.area",0.412
"Equate.entropy.of.thresholded.and.original.distributions.training.omission",0.05
