x,y,species cloglog values
1.0,1.0,0.27652168
2.0,2.0,0.022252824
3.0,3.0,5.017913E-4
4.0,4.0,0.07925206
5.0,5.0,0.200895
6.0,6.0,0.022806361
7.0,7.0,0.05994064
8.0,8.0,0.023625908
9.0,9.0,0.03057575
10.0,10.0,0.0017585823
11.0,11.0,0.026608137
12.0,12.0,0.13967888
13.0,13.0,0.2524699
14.0,14.0,0.46074098
15.0,15.0,0.95501643
16.0,16.0,0.6626813
17.0,17.0,0.029883396
18.0,18.0,0.17452832
19.0,19.0,0.9912278
20.0,20.0,0.05287606
21.0,21.0,0.054971058
22.0,22.0,0.008034404
23.0,23.0,0.056474246
24.0,24.0,0.027547698
25.0,25.0,0.008887928
26.0,26.0,0.20605622
27.0,27.0,0.28977886
28.0,28.0,0.39773494
29.0,29.0,0.21198352
30.0,30.0,0.09581834
31.0,31.0,0.026791837
32.0,32.0,0.2918892
33.0,33.0,0.006989336
34.0,34.0,0.03382446
35.0,35.0,0.028741535
36.0,36.0,0.08553654
37.0,37.0,0.29270783
38.0,38.0,0.07592895
39.0,39.0,0.012675797
40.0,40.0,0.46524364
41.0,41.0,0.026030933
42.0,42.0,0.06833786
43.0,43.0,0.05828017
44.0,44.0,0.049777713
45.0,45.0,0.026228473
46.0,46.0,0.53167844
47.0,47.0,0.049263004
48.0,48.0,0.4743336
49.0,49.0,0.3613603
50.0,50.0,0.22158633
51.0,51.0,0.06732814
52.0,52.0,0.038363386
53.0,53.0,0.036111616
54.0,54.0,0.220352
55.0,55.0,0.091669925
56.0,56.0,0.03606003
57.0,57.0,0.08411341
58.0,58.0,0.05948743
59.0,59.0,0.00523014
60.0,60.0,0.025394706
61.0,61.0,0.24522252
62.0,62.0,0.082909815
63.0,63.0,0.005659276
64.0,64.0,0.0081141265
65.0,65.0,0.5265112
66.0,66.0,0.7603117
67.0,67.0,0.35761666
68.0,68.0,0.0802323
69.0,69.0,0.113025814
70.0,70.0,0.8784273
71.0,71.0,0.6166032
72.0,72.0,0.18551993
73.0,73.0,0.05194479
74.0,74.0,0.11260233
75.0,75.0,0.032407515
76.0,76.0,0.45097342
77.0,77.0,0.03586936
78.0,78.0,0.062449787
79.0,79.0,0.8306138
80.0,80.0,0.019765792
81.0,81.0,0.34145057
82.0,82.0,0.21901822
83.0,83.0,0.85615003
84.0,84.0,0.09985348
85.0,85.0,0.01589574
86.0,86.0,0.03719718
87.0,87.0,0.072810195
88.0,88.0,0.08416642
89.0,89.0,0.018982843
90.0,90.0,0.052290503
91.0,91.0,0.36888972
92.0,92.0,0.24491987
93.0,93.0,0.0051137293
94.0,94.0,0.7478634
95.0,95.0,0.032925814
96.0,96.0,0.05241824
97.0,97.0,0.031633645
98.0,98.0,0.4693915
99.0,99.0,0.31340224
100.0,100.0,0.03233057
101.0,101.0,0.09473032
102.0,102.0,0.5075256
103.0,103.0,0.84548044
104.0,104.0,0.31014854
105.0,105.0,0.8969299
106.0,106.0,0.22180775
107.0,107.0,0.042162202
108.0,108.0,0.10016049
109.0,109.0,0.4530014
110.0,110.0,0.116254844
111.0,111.0,0.032258824
112.0,112.0,0.073618226
113.0,113.0,0.11492002
114.0,114.0,0.22683321
115.0,115.0,0.14014564
116.0,116.0,0.31590703
117.0,117.0,0.4928171
118.0,118.0,0.10957894
119.0,119.0,0.0042950897
120.0,120.0,0.033146665
121.0,121.0,0.14808583
122.0,122.0,0.08079021
123.0,123.0,0.79323596
124.0,124.0,0.18136589
125.0,125.0,0.042336617
126.0,126.0,0.061741475
127.0,127.0,0.2567621
128.0,128.0,0.34545815
129.0,129.0,0.04380602
130.0,130.0,0.031232262
