Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.71875E-9,0.000000872,0.000003885,1,0,0
6.25671E-8,0.000007129,0.000027882,0.999074074,0,0
1.12629E-6,0.000119758,0.000501791,0.998148148,0,0
1.2149E-6,0.000357146,0.000541257,0.996296296,0,0
1.73966E-6,0.000654513,0.000774954,0.994444444,0,0
2.16019E-6,0.001082336,0.000962198,0.992592593,0,0
3.52141E-6,0.002601004,0.001568039,0.987962963,0,0
5.72668E-6,0.005563629,0.002548762,0.982407407,0,0
9.65886E-6,0.01052181,0.00429509,0.976851852,0,0
1.27354E-5,0.025417543,0.005659276,0.964814815,0,0
1.74503E-5,0.051605012,0.007746331,0.949074074,0,0
2.81657E-5,0.101761234,0.012473237,0.92962963,0,0
4.07574E-5,0.202560884,0.017999044,0.902777778,0,0
4.61797E-5,0.302139139,0.020369061,0.881481481,0,0
5.02374E-5,0.404284546,0.022138858,0.862037037,0,0
5.55289E-5,0.504661551,0.024442012,0.844444444,0,0
5.93257E-5,0.602204524,0.026091294,0.828703704,0,0
6.29675E-5,0.705927172,0.027670587,0.812962963,0,0
6.53512E-5,0.750710707,0.028702888,0.806481481,0,0
7.06334E-5,0.805444916,0.030986571,0.799074074,0,0
7.43963E-5,0.900691748,0.032610144,0.787037037,0,0
7.76792E-5,1.007329624,0.034024365,0.774074074,0,0
8.06527E-5,1.102258709,0.03530354,0.762962963,0,0
8.45551E-5,1.201166475,0.036979723,0.751851852,0,0
8.77815E-5,1.304743247,0.038363386,0.740740741,0,0
9.34568E-5,1.404831571,0.040792413,0.730555556,0,0
9.84316E-5,1.501165916,0.04291654,0.721296296,0,0
1.13151E-4,1.756757615,0.049174042,0.699074074,0.0125,0
1.21449E-4,2.002472768,0.052683628,0.67962963,0.0125,0
1.31536E-4,2.255503771,0.056932272,0.661111111,0.0125,0
1.39685E-4,2.500207637,0.06035092,0.644444444,0.0125,0
1.50138E-4,2.762402757,0.064717784,0.627777778,0.0125,0
1.62195E-4,3.01433332,0.069729764,0.612962963,0.0125,0
1.80756E-4,3.256542841,0.077392766,0.6,0.025,0
1.95246E-4,3.505737155,0.083330704,0.587962963,0.025,0
2.00652E-4,3.763702382,0.085536539,0.575925926,0.025,0
2.08274E-4,4.009259562,0.088637508,0.564814815,0.025,0
2.19442E-4,4.266414735,0.093161964,0.553703704,0.025,0
2.32722E-4,4.514723277,0.098512821,0.543518519,0.025,0
2.39333E-4,4.751228862,0.101164605,0.534259259,0.025,0
2.53398E-4,5.000445975,0.106780919,0.525,0.025,0
2.65755E-4,5.261618367,0.111685998,0.515740741,0.025,0
2.73973E-4,5.50438804,0.114933197,0.507407407,0.025,0
2.9003E-4,5.757717822,0.121244016,0.499074074,0.025,0
3.09374E-4,6.000623174,0.128786482,0.491666667,0.025,0
3.31513E-4,6.256565518,0.137339803,0.484259259,0.025,0
3.41913E-4,6.527770265,0.141328442,0.476851852,0.025,0
3.57086E-4,6.772008014,0.147114863,0.47037037,0.025,0
3.74016E-4,7.027131517,0.153525358,0.463888889,0.025,0
3.87786E-4,7.255150765,0.158703997,0.458333333,0.025,0
3.99487E-4,7.531997085,0.163079196,0.451851852,0.025,0
4.0654E-4,7.774173493,0.1657056,0.446296296,0.025,0
4.21127E-4,8.023288908,0.171111427,0.440740741,0.025,0
4.3269E-4,8.278617968,0.175371658,0.435185185,0.0375,0
4.40987E-4,8.540631434,0.178414913,0.42962963,0.0375,0
4.45321E-4,8.762839717,0.180000164,0.425,0.05,0
4.52523E-4,9.032690351,0.182627944,0.419444444,0.05,0
4.65437E-4,9.263964321,0.187318291,0.414814815,0.05,0
4.82407E-4,9.502520873,0.193441024,0.410185185,0.05,0
5.01451E-4,9.799648368,0.200257117,0.40462963,0.05,0
5.09504E-4,10.002050747,0.203121774,0.400925926,0.05,0
5.21162E-4,10.260292707,0.207251249,0.396296296,0.05,0
5.33626E-4,10.524773193,0.211642106,0.391666667,0.0625,0
5.48967E-4,10.79564242,0.217013355,0.387037037,0.0625,0
5.53856E-4,11.016195732,0.218717275,0.383333333,0.0625,0
5.6137E-4,11.295246782,0.221329353,0.378703704,0.0625,0
5.70919E-4,11.521517087,0.224635594,0.375,0.0625,0
5.72747E-4,11.750209381,0.225267047,0.371296296,0.0625,0
5.77288E-4,12.038097825,0.226833206,0.366666667,0.0625,0
5.9255E-4,12.271190156,0.232074064,0.362962963,0.0625,0
5.9491E-4,12.508769562,0.232881056,0.359259259,0.0625,0
6.19796E-4,12.754835466,0.241341527,0.355555556,0.0625,0
6.31305E-4,13.006321342,0.24522252,0.351851852,0.0625,0
6.38807E-4,13.261339381,0.247741654,0.348148148,0.0625,0
6.6199E-4,13.523092795,0.25547349,0.344444444,0.0625,0
6.67921E-4,13.789333588,0.257438747,0.340740741,0.0625,0
6.82471E-4,14.059361367,0.262237833,0.337037037,0.0625,0
6.90977E-4,14.265142514,0.265029116,0.334259259,0.0625,0
7.00124E-4,14.54442465,0.268018885,0.330555556,0.0625,0
7.08889E-4,14.756086062,0.270872526,0.327777778,0.0625,0
7.24854E-4,15.043696584,0.276041422,0.324074074,0.0625,0
7.27661E-4,15.261724911,0.276946766,0.321296296,0.0625,0
7.48662E-4,15.557693443,0.283682093,0.317592593,0.075,0
