species,longitude,latitude
Agyrtodes_labralis,169.3806,-44.0114
Agyrtodes_labralis,172.9292,-41.8386
Agyrtodes_labralis,172.9689,-40.8325
Agyrtodes_labralis,169.3553,-44.1069
Agyrtodes_labralis,171.5958,-43.0214
Agyrtodes_labralis,170.9008,-42.7917
Agyrtodes_labralis,169.0175,-45.5547
Agyrtodes_labralis,172.3956,-42.3744
Agyrtodes_labralis,170.0947,-43.7389
Agyrtodes_labralis,172.7372,-41.19
Agyrtodes_labralis,169.5114,-46.4933
Agyrtodes_labralis,169.5114,-46.4933
Agyrtodes_labralis,169.0175,-45.5547
Agyrtodes_labralis,168.4194,-46.4306
Agyrtodes_labralis,168.4194,-46.4306
Agyrtodes_labralis,172.24,-42.0186
Agyrtodes_labralis,172.24,-42.0186
Agyrtodes_labralis,171.3611,-42.1164
Agyrtodes_labralis,171.3611,-42.1164
Agyrtodes_labralis,171.9647,-42.2517
Agyrtodes_labralis,171.5903,-43.0217
Agyrtodes_labralis,171.9647,-42.2517
Agyrtodes_labralis,172.1175,-42.3136
Agyrtodes_labralis,172.1175,-42.3136
Agyrtodes_labralis,171.3436,-42.1003
Agyrtodes_labralis,168.1267,-46.9294
Agyrtodes_labralis,168.1267,-46.9294
Agyrtodes_labralis,172.1175,-42.3136
Agyrtodes_labralis,172.1175,-42.3136
Agyrtodes_labralis,168.1217,-46.8675
Agyrtodes_labralis,172.1175,-42.3136
Agyrtodes_labralis,172.1561,-41.2078
Agyrtodes_labralis,172.1175,-42.3136
Agyrtodes_labralis,171.3633,-42.1167
Agyrtodes_labralis,171.3633,-42.1167
Agyrtodes_labralis,172.1975,-41.1514
Agyrtodes_labralis,171.3486,-42.5531
Agyrtodes_labralis,171.3486,-42.5531
Agyrtodes_labralis,172.1075,-41.1089
Agyrtodes_labralis,172.1075,-41.1089
Agyrtodes_labralis,168.1267,-46.9294
Agyrtodes_labralis,172.3956,-42.3744
Agyrtodes_labralis,171.2578,-42.4083
Agyrtodes_labralis,172.3956,-42.3744
Agyrtodes_labralis,171.1503,-44.0011
Agyrtodes_labralis,171.3611,-42.1164
Agyrtodes_labralis,169.3806,-44.0114
Agyrtodes_labralis,169.3806,-44.0114
Agyrtodes_labralis,168.3528,-46.545
Agyrtodes_labralis,170.0947,-43.7389
Agyrtodes_labralis,168.4194,-46.4306
Agyrtodes_labralis,172.9292,-41.8386
Agyrtodes_labralis,172.8078,-41.8206
Agyrtodes_labralis,169.3553,-44.1069
Agyrtodes_labralis,169.3553,-44.1069
