species,longitude,latitude
Brachynopus_scutellaris,168.0842,-44.895
Brachynopus_scutellaris,168.0842,-44.895
Brachynopus_scutellaris,172.2942,-42.3819
Brachynopus_scutellaris,172.2942,-42.3819
Brachynopus_scutellaris,173.5667,-42.3497
Brachynopus_scutellaris,173.5667,-42.3497
Brachynopus_scutellaris,173.705,-41.4583
Brachynopus_scutellaris,173.705,-41.4583
Brachynopus_scutellaris,173.5728,-41.2986
Brachynopus_scutellaris,173.5728,-41.2986
Brachynopus_scutellaris,168.6167,-44.9786
Brachynopus_scutellaris,168.6111,-44.9708
Brachynopus_scutellaris,168.6111,-44.9708
Brachynopus_scutellaris,168.7644,-44.0153
Brachynopus_scutellaris,168.7644,-44.0153
Brachynopus_scutellaris,168.7644,-44.0153
Brachynopus_scutellaris,171.3925,-42.3475
Brachynopus_scutellaris,171.3925,-42.3475
Brachynopus_scutellaris,171.4017,-42.1025
Brachynopus_scutellaris,171.4017,-42.1025
Brachynopus_scutellaris,172.9292,-41.8386
Brachynopus_scutellaris,171.4017,-42.1025
Brachynopus_scutellaris,171.4017,-42.1025
Brachynopus_scutellaris,171.8839,-41.61
Brachynopus_scutellaris,172.1561,-41.2078
Brachynopus_scutellaris,172.1561,-41.2078
Brachynopus_scutellaris,172.1561,-41.2078
Brachynopus_scutellaris,171.7864,-41.7672
Brachynopus_scutellaris,171.7864,-41.7672
Brachynopus_scutellaris,171.7864,-41.7672
Brachynopus_scutellaris,174.5922,-36.9994
Brachynopus_scutellaris,172.9292,-41.8386
Brachynopus_scutellaris,174.5922,-36.9994
Brachynopus_scutellaris,172.3917,-42.5183
Brachynopus_scutellaris,172.3917,-42.5183
Brachynopus_scutellaris,172.3917,-42.5183
Brachynopus_scutellaris,172.3917,-42.5183
Brachynopus_scutellaris,171.5903,-43.0217
Brachynopus_scutellaris,171.5903,-43.0217
Brachynopus_scutellaris,172.2525,-42.7714
Brachynopus_scutellaris,172.2525,-42.7714
Brachynopus_scutellaris,172.8256,-42.4781
Brachynopus_scutellaris,172.8256,-42.4781
Brachynopus_scutellaris,172.3956,-42.3744
Brachynopus_scutellaris,172.3956,-42.3744
Brachynopus_scutellaris,172.0847,-42.2933
Brachynopus_scutellaris,172.0847,-42.2933
Brachynopus_scutellaris,173.7711,-42.2636
Brachynopus_scutellaris,173.7711,-42.2636
Brachynopus_scutellaris,174.0169,-41.3856
