Species,longitude,latitude
Epistranus_lawsoni,172.0203,-41.5161
Epistranus_lawsoni,172.2136,-41.2464
Epistranus_lawsoni,175.0642,-36.2217
Epistranus_lawsoni,172.1919,-41.1344
Epistranus_lawsoni,172.6244,-43.63
Epistranus_lawsoni,171.3692,-42.1194
Epistranus_lawsoni,169.3553,-44.1069
Epistranus_lawsoni,169.2344,-44.2289
Epistranus_lawsoni,174.5939,-38.9033
Epistranus_lawsoni,173.7736,-41.0325
Epistranus_lawsoni,172.7478,-41.1922
Epistranus_lawsoni,172.9689,-40.8325
Epistranus_lawsoni,173.5678,-42.35
Epistranus_lawsoni,173.3086,-35.3878
Epistranus_lawsoni,174.57,-36.0594
Epistranus_lawsoni,169.0914,-43.8078
Epistranus_lawsoni,172.1189,-42.3136
Epistranus_lawsoni,177.0147,-38.7553
Epistranus_lawsoni,175.3592,-41.4206
Epistranus_lawsoni,169.3664,-44.0372
Epistranus_lawsoni,169.8136,-43.5764
Epistranus_lawsoni,175.7203,-39.6464
Epistranus_lawsoni,175.2281,-41.1147
Epistranus_lawsoni,175.8489,-40.1328
Epistranus_lawsoni,173.3708,-41.2925
Epistranus_lawsoni,170.8703,-44.4342
Epistranus_lawsoni,172.5542,-43.1364
Epistranus_lawsoni,172.5475,-40.6197
Epistranus_lawsoni,171.3436,-42.1003
Epistranus_lawsoni,168.6164,-44.9789
Epistranus_lawsoni,168.6122,-44.9714
Epistranus_lawsoni,168.0192,-44.9508
Epistranus_lawsoni,168.0192,-44.9508
Epistranus_lawsoni,172.7461,-41.19
Epistranus_lawsoni,172.7461,-41.19
Epistranus_lawsoni,177.0967,-38.74
Epistranus_lawsoni,168.6164,-44.9789
Epistranus_lawsoni,171.2603,-43.8894
Epistranus_lawsoni,171.2603,-43.8894
Epistranus_lawsoni,174.7994,-39.0203
Epistranus_lawsoni,169.8169,-44.1067
Epistranus_lawsoni,176.0558,-40.5619
Epistranus_lawsoni,172.1919,-41.1344
Epistranus_lawsoni,172.1908,-41.1511
Epistranus_lawsoni,172.8894,-40.945
Epistranus_lawsoni,174.0319,-41.2022
Epistranus_lawsoni,172.2136,-41.2464
Epistranus_lawsoni,168.6164,-44.9789
Epistranus_lawsoni,172.0203,-41.5161
Epistranus_lawsoni,168.9003,-43.91
Epistranus_lawsoni,171.3692,-42.1194
Epistranus_lawsoni,171.3486,-42.5531
Epistranus_lawsoni,173.4539,-35.5369
Epistranus_lawsoni,169.8169,-44.1067
Epistranus_lawsoni,171.2603,-43.8894
Epistranus_lawsoni,169.1414,-43.9411
Epistranus_lawsoni,174.0319,-41.2022
Epistranus_lawsoni,169.1414,-43.9411
Epistranus_lawsoni,172.7461,-41.19
Epistranus_lawsoni,172.7656,-34.4728
Epistranus_lawsoni,175.8403,-36.9617
Epistranus_lawsoni,175.8403,-36.9617
Epistranus_lawsoni,175.6458,-37.0828
Epistranus_lawsoni,175.6458,-37.0828
Epistranus_lawsoni,174.5564,-36.9372
Epistranus_lawsoni,174.5564,-36.9372
Epistranus_lawsoni,175.6658,-37.0694
Epistranus_lawsoni,175.8436,-36.9781
Epistranus_lawsoni,173.9272,-41.2628
Epistranus_lawsoni,173.9272,-41.2628
Epistranus_lawsoni,169.3553,-44.1069
Epistranus_lawsoni,174.1331,-41.0875
Epistranus_lawsoni,172.8381,-34.4931
Epistranus_lawsoni,172.8381,-34.4931
Epistranus_lawsoni,173.0081,-34.4214
Epistranus_lawsoni,171.3692,-42.1194
Epistranus_lawsoni,173.5678,-42.35
Epistranus_lawsoni,173.5678,-42.35
Epistranus_lawsoni,173.3086,-35.3878
Epistranus_lawsoni,173.3086,-35.3878
Epistranus_lawsoni,175.7333,-37.5236
Epistranus_lawsoni,175.8436,-36.9781
Epistranus_lawsoni,172.6244,-43.63
Epistranus_lawsoni,175.8436,-36.9781
Epistranus_lawsoni,173.9272,-41.2628
Epistranus_lawsoni,173.9272,-41.2628
Epistranus_lawsoni,172.7461,-41.19
Epistranus_lawsoni,169.2344,-44.2289
Epistranus_lawsoni,175.0642,-36.2217
Epistranus_lawsoni,172.0203,-41.5161
Epistranus_lawsoni,172.1919,-41.1344
Epistranus_lawsoni,172.2136,-41.2464
Epistranus_lawsoni,175.3592,-41.4206
Epistranus_lawsoni,174.1239,-39.2228
Epistranus_lawsoni,172.6244,-43.63
Epistranus_lawsoni,172.6244,-43.63
Epistranus_lawsoni,173.7381,-42.2703
Epistranus_lawsoni,173.7381,-42.2703
Epistranus_lawsoni,169.8169,-44.1067
Epistranus_lawsoni,169.8169,-44.1067
Epistranus_lawsoni,174.9325,-41.3511
Epistranus_lawsoni,174.9325,-41.3511
Epistranus_lawsoni,174.1239,-39.2228
Epistranus_lawsoni,174.1239,-39.2228
Epistranus_lawsoni,175.5022,-40.9931
Epistranus_lawsoni,175.5022,-40.9931
Epistranus_lawsoni,176.0139,-39.9608
Epistranus_lawsoni,176.0139,-39.9608
Epistranus_lawsoni,175.1094,-40.9481
Epistranus_lawsoni,175.1094,-40.9481
Epistranus_lawsoni,173.4539,-35.5369
Epistranus_lawsoni,173.4539,-35.5369
Epistranus_lawsoni,171.3486,-42.5531
Epistranus_lawsoni,171.3486,-42.5531
Epistranus_lawsoni,172.8894,-40.945
Epistranus_lawsoni,172.8894,-40.945
Epistranus_lawsoni,173.9864,-39.2011
Epistranus_lawsoni,173.9864,-39.2011
Epistranus_lawsoni,169.1414,-43.9411
Epistranus_lawsoni,169.1414,-43.9411
Epistranus_lawsoni,172.1908,-41.1511
Epistranus_lawsoni,172.1908,-41.1511
Epistranus_lawsoni,168.9003,-43.91
Epistranus_lawsoni,168.9003,-43.91
Epistranus_lawsoni,174.7994,-39.0203
Epistranus_lawsoni,174.1239,-39.2228
Epistranus_lawsoni,175.5022,-40.9931
Epistranus_lawsoni,175.5022,-40.9931
Epistranus_lawsoni,170.8408,-44.3425
Epistranus_lawsoni,170.8408,-44.3425
Epistranus_lawsoni,173.1467,-42.4822
Epistranus_lawsoni,173.1467,-42.4822
Epistranus_lawsoni,176.0558,-40.5619
Epistranus_lawsoni,176.0558,-40.5619
Epistranus_lawsoni,175.3878,-40.9936
Epistranus_lawsoni,175.3878,-40.9936
Epistranus_lawsoni,172.6244,-43.63
Epistranus_lawsoni,172.6244,-43.63
Epistranus_lawsoni,168.3528,-46.545
Epistranus_lawsoni,168.3528,-46.545
Epistranus_lawsoni,172.72,-41.1058
Epistranus_lawsoni,172.72,-41.1058
Epistranus_lawsoni,171.3436,-42.1003
Epistranus_lawsoni,171.3436,-42.1003
Epistranus_lawsoni,175.3644,-41.41
Epistranus_lawsoni,175.3644,-41.41
Epistranus_lawsoni,170.8703,-44.4342
Epistranus_lawsoni,170.8703,-44.4342
Epistranus_lawsoni,177.1819,-38.7353
Epistranus_lawsoni,169.9681,-43.4439
Epistranus_lawsoni,169.9681,-43.4439
Epistranus_lawsoni,175.4736,-40.9067
Epistranus_lawsoni,175.4736,-40.9067
Epistranus_lawsoni,172.2531,-43.2003
Epistranus_lawsoni,172.2531,-43.2003
Epistranus_lawsoni,169.1497,-43.7592
Epistranus_lawsoni,169.1497,-43.7592
Epistranus_lawsoni,174.9286,-40.8522
Epistranus_lawsoni,174.9286,-40.8522
Epistranus_lawsoni,170.9725,-44.6647
Epistranus_lawsoni,170.9725,-44.6647
Epistranus_lawsoni,174.1331,-41.0875
Epistranus_lawsoni,172.7067,-40.7689
Epistranus_lawsoni,175.2281,-41.1147
