species,longitude,latitude
Geochus sp,171.3487667,-42.56523333
Geochus sp,171.3487667,-42.56523333
Geochus sp,172.1909167,-41.15125
Geochus sp,172.1920833,-41.1346
Geochus sp,172.2137667,-41.24655
Geochus sp,172.1977,-41.1514
Geochus sp,172.0204833,-41.51635
Geochus sp,171.3692667,-42.11948333
Geochus sp,171.3436833,-42.10043333
Geochus sp,171.3966821,-42.35040859
Geochus sp,174.1355,-41.08691667
Geochus sp,173.573,-41.29878333
Geochus sp,173.7738833,-41.03256667
Geochus sp,172.9005167,-41.03296667
Geochus sp,172.9005167,-41.03296667
Geochus sp,172.54765,-40.61988333
Geochus sp,172.7069167,-40.76903333
Geochus sp,172.9690667,-40.83263333
Geochus sp,172.9690667,-40.83263333
Geochus sp,174.59405,-38.90345
Geochus sp,174.1240667,-39.22285
Geochus sp,173.9864667,-39.20111667
Geochus sp,174.71345,-39.15443333
Geochus sp,176.0140167,-39.961
Geochus sp,174.9287,-40.85241667
Geochus sp,175.1096167,-40.94833333
Geochus sp,175.2283333,-41.11495
Geochus sp,175.388,-40.9938
Geochus sp,176.0560667,-40.56205
Geochus sp,175.4738667,-40.9068
Geochus sp,175.4738667,-40.9068
Geochus sp,175.6658667,-37.0695
Geochus sp,174.1332333,-41.08755
Geochus sp,174.1332333,-41.08755
Geochus sp,177.1616667,-38.75333333
Geochus sp,177.145,-38.74
Geochus sp,177.11,-38.71333333
Geochus sp,174.1133333,-39.30166667
Geochus sp,174.1166667,-39.33666667
Geochus sp,173.9816667,-39.20166667
Geochus sp,174.1133333,-39.24166667
Geochus sp,174.1133333,-39.24166667
Geochus sp,171.5733333,-42.80333333
Geochus sp,171.4033333,-42.1
Geochus sp,172.1916667,-41.135
Geochus sp,172.1016667,-41.425
Geochus sp,171.7883333,-41.76666667
Geochus sp,169.9666667,-43.43833333
Geochus sp,175.058749,-36.218795
Geochus sp,168.12265,-46.86748333
Geochus sp,168.12265,-46.86748333
Geochus sp,168.12265,-46.86748333
Geochus sp,168.1302833,-46.92808333
Geochus sp,168.1449833,-46.88813333
Geochus sp,168.0186333,-46.93353333
Geochus sp,169.0176833,-45.55496667
Geochus sp,169.4437833,-46.577
Geochus sp,169.4437833,-46.577
Geochus sp,169.1762167,-46.47625
Geochus sp,169.1762167,-46.47625
Geochus sp,171.4170833,-43.62675
Geochus sp,168.6123,-43.97143333
Geochus sp,168.6123,-43.97143333
Geochus sp,168.90055,-43.9102
Geochus sp,168.6166,-43.97903333
Geochus sp,169.1497667,-43.75926667
Geochus sp,169.0916333,-43.80791667
Geochus sp,169.14165,-43.94116667
Geochus sp,169.2691667,-43.71495
Geochus sp,169.8138167,-43.57643333
Geochus sp,169.9680833,-43.444
Geochus sp,169.9680833,-43.444
Geochus sp,172.53875,-41.59798333
Geochus sp,172.53875,-41.59798333
Geochus sp,172.560224,-41.47336
Geochus sp,172.189917,-41.149821
Geochus sp,172.15,-41.21666667
Geochus sp,174.7218667,-38.41641667
Geochus sp,174.7218667,-38.41641667
Geochus sp,168.76,-44.02166667
Geochus sp,168.6083333,-43.96833333
Geochus sp,171.34255,-42.40346667
Geochus sp,170.16105,-43.22625
Geochus sp,177.1666667,-38.75
Geochus sp,177.1333333,-38.78333333
Geochus sp,177.01554,-38.75518
Geochus sp,177.01481,-38.75539
Geochus sp,177.0166667,-38.78333333
Geochus sp,170.2,-43.36666667
Geochus sp,170.85,-43
Geochus sp,170.9010667,-42.7919
Geochus sp,171.1666667,-42.83333333
Geochus sp,171.1666667,-42.83333333
Geochus sp,171.3925333,-42.34751667
Geochus sp,171.4017167,-42.10266667
Geochus sp,172.7200167,-41.10603333
Geochus sp,172.7200167,-41.10603333
Geochus sp,172.0166667,-41.51666667
Geochus sp,172.15,-41.21666667
Geochus sp,175.7333333,-37.53333333
Geochus sp,175.1833333,-41.05
Geochus sp,175.4666667,-40.88333333
Geochus sp,166.539581,-46.019838
Geochus sp,172.5708,-40.71266667
Geochus sp,172.3644833,-40.7097
Geochus sp,171.5716333,-42.80205
Geochus sp,176.0408333,-39.76216667
Geochus sp,169.21528,-43.97167
Geochus sp,171.09453,-42.77573
Geochus sp,168.60977,-43.96904
Geochus sp,169.28796,-43.93819
Geochus sp,171.43283,-42.66082
Geochus sp,171.09454,-42.77573
Geochus sp,169.14172,-43.94072
Geochus sp,169.30682,-44.15698
Geochus sp,171.56013,-42.85475
Geochus sp,170.8989,-42.79129
Geochus sp,171.41838,-42.7473
Geochus sp,170.8989,-42.79129
Geochus sp,171.41381,-43.6275
Geochus sp,171.56975,-42.80083
